date,symbol,open,high,low,close,volume,avg_spread,ticks
2025-12-22,GOOGL,309.0,310.69,305.32,309.84,728234,0.7967680772214077,11640
2025-12-22,MSFT,487.43,488.69,482.7,484.97,476363,0.6730103748326647,12014
2025-12-22,QQQ,620.02,621.63,617.78,619.71,1798046,0.01452542899561446,28967
2025-12-22,SPY,682.85,685.36,682.69,684.86,1463450,0.01930998340466432,22905
2025-12-22,TSLA,486.22,498.81,485.36,489.63,1022903,0.48104627688485146,25780
2025-12-23,GOOGL,309.89,314.92,308.85,314.67,884604,0.17096661490683232,15466
2025-12-23,MSFT,486.11,487.82,484.68,486.81,316934,0.773648178231608,8627
2025-12-23,QQQ,619.12,622.41,617.43,622.1,1581517,0.016265060240964534,24310
2025-12-23,SPY,684.61,688.2,683.33,687.66,1370560,0.018457919498171143,22965
2025-12-23,TSLA,490.0,491.88,482.85,485.7,666321,0.778496231747527,16987
2025-12-24,GOOGL,315.8,315.8,311.96,314.17,245746,0.2897510288065843,4871
2025-12-24,MSFT,487.36,489.15,484.87,487.64,116115,0.6665252938170652,3933
2025-12-24,QQQ,622.42,624.28,621.76,623.14,385826,0.02359468653815061,6186
2025-12-24,SPY,687.96,690.825,687.82,689.86,765177,0.018404239097284735,13117
2025-12-24,TSLA,486.21,490.87,476.855,484.5,534258,0.4667770148765727,12236
2025-12-26,GOOGL,314.71,315.09,312.3,313.39,348536,0.18896496114939082,6839
2025-12-26,MSFT,487.62,488.1,485.985,487.45,172461,0.7237224816544362,6007
2025-12-26,QQQ,624.52,625.5,623.14,623.61,1064673,0.015464454692460522,16702
2025-12-26,SPY,690.44,691.615,689.29,690.15,661371,0.028558829424734603,9978
2025-12-26,TSLA,486.25,489.06,473.85,474.76,725070,0.6026677586985985,17704
2025-12-29,GOOGL,312.02,314.0,310.56,313.43,423075,0.2286693017127798,9124
2025-12-29,MSFT,486.25,488.33,484.21,485.88,208061,0.8465651004992957,7820
2025-12-29,QQQ,621.2,622.78,618.75,620.97,776263,0.0736274429634473,12245
2025-12-29,SPY,688.32,689.18,686.09,687.72,1611151,0.013015245434745783,29855
2025-12-29,TSLA,469.45,470.7,457.35,458.0,881862,0.5095653913878669,24993
2025-12-30,GOOGL,313.29,316.9,312.47,314.01,499027,0.21816033925686645,9918
2025-12-30,MSFT,485.57,489.655,485.0,488.18,321063,0.5345596732416809,10044
2025-12-30,QQQ,620.66,622.18,618.94,618.96,904057,0.016762030414553115,14404
2025-12-30,SPY,687.62,688.55,686.58,687.06,1386964,0.015542457260943481,21295
2025-12-30,TSLA,463.78,463.8,453.86,455.3,707340,0.27918695934796717,20003
2025-12-31,GOOGL,313.0,314.56,311.455,312.89,386164,0.20708622283864944,8663
2025-12-31,MSFT,487.43,488.11,483.33,483.62,348341,0.6716759722757045,10396
2025-12-31,QQQ,617.2,620.43,613.79,613.79,1253188,0.014755570026512503,21505
2025-12-31,SPY,685.19,687.66,681.72,682.08,1921382,0.014188177746346446,33940
2025-12-31,TSLA,453.85,458.03,449.33,449.73,600231,0.5136862403582975,16076
2026-01-02,GOOGL,316.47,322.5,310.37,315.01,815795,0.4428027798394163,14841
2026-01-02,MSFT,485.54,485.97,470.16,473.03,934047,0.6336769670215522,19272
2026-01-02,QQQ,620.14,622.805,610.15,613.05,1468460,0.023429178647330542,23997
2026-01-02,SPY,686.35,686.87,679.84,683.32,1686478,0.01717069623704705,27505
2026-01-02,TSLA,455.75,460.0,435.325,439.82,1107579,0.2621343977213098,26701
2026-01-05,GOOGL,316.0,318.95,314.65,316.93,793928,0.29428513271454215,12337
2026-01-05,MSFT,473.15,476.04,469.54,472.5,755186,1.0994289378855435,16406
2026-01-05,QQQ,617.6,620.79,616.45,617.9,1214625,0.027243169072903944,16763
2026-01-05,SPY,685.21,689.43,684.45,687.54,2019347,0.015524932342053353,32148
2026-01-05,TSLA,445.5,457.525,443.43,451.5,1067428,0.259876710149539,25150
2026-01-06,GOOGL,316.95,320.93,311.79,314.3,867161,0.33279283822973055,15876
2026-01-06,MSFT,473.2,478.76,469.76,478.76,578966,0.6304764663287459,13839
2026-01-06,QQQ,617.85,624.02,617.85,623.78,1213802,0.025092916026268328,14318
2026-01-06,SPY,687.35,692.31,687.35,692.0,2339089,0.014613400162157541,40704
2026-01-06,TSLA,449.34,449.95,428.8,435.0,1414214,0.18986732957566746,37628
2026-01-07,GOOGL,313.8,326.14,313.79,322.73,1265075,0.24460067087293344,25117
2026-01-07,MSFT,478.06,489.7,477.4,483.28,647725,0.6856373762376252,16224
2026-01-07,QQQ,622.35,627.94,622.24,624.01,1927564,0.016509269473009257,28104
2026-01-07,SPY,691.44,693.96,689.22,689.66,2481260,0.01423270122815958,41616
2026-01-07,TSLA,434.0,438.35,430.78,432.1,813875,0.2091717181284327,21134
2026-01-08,GOOGL,325.59,330.3,321.5,325.65,1037983,0.23384619211063112,20158
2026-01-08,MSFT,480.33,482.565,475.99,478.42,579136,0.7783166654500323,13731
2026-01-08,QQQ,622.2,623.58,617.8,621.53,1539884,0.020375245747499684,23401
2026-01-08,SPY,688.26,690.89,687.49,690.62,2455714,0.013947828257613024,40063
2026-01-08,TSLA,429.29,436.89,424.4,436.0,706176,0.2922115793954883,18816
2026-01-09,GOOGL,327.84,330.8,325.85,328.58,594557,0.33533015237801955,13012
